㓥,tong1
㖊日,cam4 jat6
㖊晚,cam4 maan5
㖞,wo3
㖿,je2
㗎,gaa4
㗳,dep1
㧬,ung2
㶶,nung6
㷫,hing3
㺪,lung4
䟴,an3
䟴䟴脚,ngan3 ngan3 goek3
䟴䟴腳,ngan3 ngan3 goek3
䢂,lip1
一,jat1
一万,jat1 maan6
一万九千几,jat1 maan6 gau2 cin1 gei2
一万五千几,jat1 maan6 ng5 cin1 gei2
一万四千,jat1 maan6 sei3 cin1
一九,jat1 gau2
一九九七年,jat1 gau2 gau2 cat1 nin4
一九九三年,jat1 gau2 gau2 saam1 nin4
一九六六,jat1 gau2 luk6 luk6
一九四三年,jat1 gau2 sei3 saam1 nin4
一五五零,jat1 ng5 ng5 ling4
一亿,jat1 jik1
一仆一碌,jat1 puk1 jat1 luk1
一代,jat1 doi6
一份子,jat1 fan6 zi2
一來,jat1 loi4
一係,jat1 hai6
一僕一碌,jat1 puk1 jat1 luk1
一億,jat1 jik1
一六八,jat1 luk6 baat3
一切,jat1 cai3
一则,jat1 zak1
一刹那,jat1 saat3 naa5
一則,jat1 zak1
一剎那,jat1 saat3 naa5
一力承担,jat1 lik6 sing4 daam1
一力承擔,jat1 lik6 sing4 daam1
一千,jat1 cin1
一千三百,jat1 cin1 saam1 baak3
一千二百,jat1 cin1 ji6 baak3
一千几二千,jat1 cin1 gei2 ji6 cin1
一千几百,jat1 cin1 gei2 baak3
一千四百,jat1 cin1 sei3 baak3
一千四百五十,jat1 cin1 sei3 baak3 m5 sap6
一千幾二千,jat1 cin1 gei2 ji6 cin1
一千幾百,jat1 cin1 gei2 baak3
一半,jat1 bun3
一号,jat1 hou6
一味,jat1 mei2
一啲,jat1 di1
一啲啲,jat1 di1 di1
一嚿嚿,jat1 gau6 gau6
一四八,jat1 sei3 baat3
一字馬,jat1 zi6 maa5
一字马,jat1 zi6 maa5
一定,jat1 ding6
一尾,jat1 mei2
一层层,jat1 cang4 cang4
一層層,jat1 cang4 cang4
一带,jat1 daai3
一帶,jat1 daai3
一心,jat1 sam1
一手一脚,jat1 sau2 jat1 goek3
一手一腳,jat1 sau2 jat1 goek3
一招,jat1 ziu1
一排,jat1 paai4
一早,jat1 zou2
一时一样,jat1 si4 jat1 joeng6
一时之间,jat1 si4 zi1 gaan1
一时时,jat1 si2 si4
一时间,jat1 si4 gaan1
一時一樣,jat1 si4 jat1 joeng6
一時之間,jat1 si4 zi1 gaan1
一時時,jat1 si2 si4
一時間,jat1 si4 gaan1
一月,jat1 jyut6
一望无际,jat1 mong6 mou4 zai3
一望無際,jat1 mong6 mou4 zai3
一本便利,jat1 bun2 bin6 lei6
一条条,jat1 tiu4 tiu4
一来,jat1 loi4
一样,jat1 joeng6
一條條,jat1 tiu4 tiu4
一模一样,jat1 mou4 jat1 joeng6
一模一樣,jat1 mou4 jat1 joeng6
一樣,jat1 joeng6
一次过,jat1 ci3 gwo3
一次過,jat1 ci3 gwo3
一浪,jat1 long6
一点,jat1 dim2
一生,jat1 sang1
一百,jat1 baak3
一百五十,jat1 baak3 ng5 sap6
一百六十八,jat1 baak3 luk6 sap6 baat3
一百几,jat1 baak3 gei2
一百幾,jat1 baak3 gei2
