的	4.094	4.094
一	1.577	5.671
是	1.352	7.023
不	1.157	8.179
了	1.100	9.279
在	1.038	10.317
人	0.965	11.283
有	0.921	12.204
我	0.873	13.077
他	0.825	13.902
这	0.802	14.704
个	0.620	15.324
们	0.605	15.928
中	0.571	16.499
来	0.558	17.057
上	0.553	17.610
大	0.545	18.154
为	0.537	18.691
和	0.522	19.214
国	0.509	19.723
地	0.501	20.224
到	0.499	20.722
以	0.471	21.193
说	0.452	21.645
时	0.431	22.076
要	0.419	22.495
就	0.398	22.894
出	0.390	23.284
会	0.380	23.664
可	0.374	24.037
也	0.367	24.404
你	0.364	24.769
对	0.364	25.132
生	0.352	25.485
能	0.344	25.829
而	0.336	26.164
子	0.331	26.495
那	0.330	26.825
得	0.326	27.151
于	0.326	27.477
着	0.324	27.801
下	0.321	28.122
自	0.316	28.438
之	0.315	28.753
年	0.311	29.064
过	0.305	29.369
发	0.296	29.665
后	0.295	29.960
作	0.281	30.240
里	0.278	30.518
用	0.277	30.795
道	0.276	31.071
行	0.275	31.346
所	0.270	31.616
然	0.264	31.880
家	0.263	32.144
种	0.260	32.404
事	0.258	32.662
成	0.258	32.920
方	0.255	33.174
多	0.249	33.423
经	0.249	33.672
么	0.247	33.919
去	0.246	34.165
法	0.241	34.406
学	0.240	34.646
如	0.232	34.878
都	0.227	35.106
同	0.226	35.332
现	0.224	35.556
当	0.222	35.778
没	0.221	35.999
动	0.221	36.220
面	0.220	36.439
起	0.220	36.659
看	0.219	36.878
定	0.218	37.097
天	0.217	37.314
分	0.217	37.531
还	0.215	37.745
进	0.213	37.958
好	0.213	38.171
小	0.212	38.384
部	0.208	38.592
其	0.208	38.800
些	0.207	39.007
主	0.207	39.214
样	0.206	39.420
理	0.206	39.625
心	0.203	39.828
她	0.201	40.029
本	0.201	40.229
前	0.197	40.426
开	0.195	40.621
但	0.194	40.815
因	0.192	41.007
只	0.191	41.198
从	0.191	41.389
想	0.191	41.580
实	0.190	41.770
日	0.188	41.958
军	0.187	42.146
者	0.187	42.332
意	0.186	42.518
无	0.186	42.704
力	0.186	42.890
它	0.179	43.069
与	0.179	43.247
长	0.177	43.424
把	0.176	43.600
机	0.176	43.776
十	0.175	43.951
民	0.174	44.124
第	0.168	44.293
公	0.165	44.457
此	0.165	44.622
已	0.164	44.786
工	0.164	44.950
使	0.163	45.114
情	0.162	45.276
明	0.160	45.436
性	0.160	45.596
知	0.158	45.754
全	0.158	45.912
三	0.157	46.069
又	0.157	46.226
关	0.156	46.382
点	0.155	46.538
正	0.153	46.691
业	0.153	46.844
外	0.153	46.997
将	0.153	47.149
两	0.152	47.302
高	0.152	47.453
间	0.151	47.604
由	0.151	47.755
问	0.149	47.904
很	0.147	48.051
最	0.147	48.198
重	0.146	48.344
并	0.146	48.490
物	0.145	48.635
手	0.145	48.780
应	0.145	48.925
战	0.144	49.069
向	0.143	49.212
头	0.142	49.354
文	0.142	49.496
体	0.141	49.637
政	0.139	49.777
美	0.139	49.916
相	0.139	50.055
见	0.139	50.194
被	0.139	50.333
利	0.139	50.472
什	0.138	50.610
二	0.138	50.749
等	0.138	50.886
产	0.137	51.023
或	0.135	51.158
新	0.131	51.289
己	0.130	51.419
制	0.130	51.549
身	0.129	51.678
果	0.128	51.805
加	0.126	51.931
西	0.126	52.057
斯	0.124	52.181
月	0.124	52.306
话	0.124	52.430
合	0.124	52.553
回	0.124	52.677
特	0.124	52.801
代	0.120	52.920
内	0.120	53.040
信	0.119	53.159
表	0.117	53.276
化	0.116	53.392
老	0.115	53.508
给	0.113	53.620
世	0.111	53.731
位	0.111	53.842
次	0.111	53.953
度	0.111	54.064
门	0.110	54.174
任	0.110	54.284
常	0.110	54.394
先	0.109	54.502
海	0.108	54.611
通	0.108	54.719
教	0.108	54.827
儿	0.107	54.934
原	0.107	55.041
东	0.107	55.148
声	0.107	55.254
提	0.106	55.360
立	0.106	55.466
及	0.105	55.571
比	0.104	55.675
员	0.103	55.778
解	0.103	55.882
水	0.103	55.984
名	0.103	56.087
真	0.103	56.190
论	0.102	56.291
处	0.100	56.392
走	0.100	56.492
义	0.100	56.592
各	0.100	56.692
入	0.099	56.791
几	0.099	56.891
口	0.099	56.990
认	0.099	57.089
条	0.099	57.188
平	0.099	57.287
系	0.099	57.385
气	0.099	57.484
题	0.098	57.582
活	0.098	57.680
尔	0.098	57.778
更	0.097	57.875
别	0.096	57.972
打	0.096	58.068
女	0.096	58.163
变	0.096	58.259
四	0.096	58.355
神	0.095	58.450
总	0.095	58.545
何	0.095	58.641
电	0.095	58.736
数	0.095	58.830
安	0.095	58.925
少	0.095	59.020
报	0.094	59.114
才	0.094	59.208
